label, LY, LM1, LM2, LM2M1, RY, RM1, RM2, RM2M1
MS1-NDE-00,1,0,0,0,0,0,0,0
MS1-NDE-01,1,0,1,1,0,0,1,1
MS1-NDE-10,1,1,0,0,0,1,0,0
MS1-NDE-11,1,1,1,1,0,1,1,1
MS1-NIE1-00,0,1,0,0,0,0,0,0
MS1-NIE1-01,0,1,1,1,0,0,1,1
MS1-NIE1-10,1,1,0,0,1,0,0,0
MS1-NIE1-11,1,1,1,1,1,0,1,1
MS1-NIE2-00,0,0,1,1,0,0,0,0
MS1-NIE2-01,0,1,1,1,0,1,0,0
MS1-NIE2-10,1,0,1,1,1,0,0,0
MS1-NIE2-11,1,1,1,1,1,1,0,0
MS2-NDE-00,1,0,0,0,0,0,0,0
MS2-NDE-01,1,0,1,0,0,0,1,0
MS2-NDE-10,1,1,0,1,0,1,0,1
MS2-NDE-11,1,1,1,1,0,1,1,1
MS2-NIE1-00,0,1,0,1,0,0,0,0
MS2-NIE1-01,0,1,1,1,0,0,1,0
MS2-NIE1-10,1,1,0,1,1,0,0,0
MS2-NIE1-11,1,1,1,1,1,0,1,0
MS2-NIE2-00,0,0,1,0,0,0,0,0
MS2-NIE2-01,0,1,1,1,0,1,0,1
MS2-NIE2-10,1,0,1,0,1,0,0,0
MS2-NIE2-11,1,1,1,1,1,1,0,1
