label, LY, LM1, LM2, LM2M1, RY, RM1, RM2, RM2M1
NDE-000,1,0,0,0,0,0,0,0
NDE-100,1,1,0,0,0,1,0,0
NDE-010,1,0,1,0,0,0,1,0
NDE-001,1,0,0,1,0,0,0,1
NDE-110,1,1,1,0,0,1,1,0
NDE-101,1,1,0,1,0,1,0,1
NDE-011,1,0,1,1,0,0,1,1
NDE-111,1,1,1,1,0,1,1,1
NIE1-000,0,1,0,0,0,0,0,0
NIE1-100,1,1,0,0,1,0,0,0
NIE1-010,0,1,1,0,0,0,1,0
NIE1-001,0,1,0,1,0,0,0,1
NIE1-110,1,1,1,0,1,0,1,0
NIE1-101,1,1,0,1,1,0,0,1
NIE1-011,0,1,1,1,0,0,1,1
NIE1-111,1,1,1,1,1,0,1,1
NIE2-000,0,0,1,0,0,0,0,0
NIE2-100,1,0,1,0,1,0,0,0
NIE2-010,0,1,1,0,0,1,0,0
NIE2-001,0,0,1,1,0,0,0,1
NIE2-110,1,1,1,0,1,1,0,0
NIE2-101,1,0,1,1,1,0,0,1
NIE2-011,0,1,1,1,0,1,0,1
NIE2-111,1,1,1,1,1,1,0,1
NIE12-000,0,0,0,1,0,0,0,0
NIE12-100,1,0,0,1,1,0,0,0
NIE12-010,0,1,0,1,0,1,0,0
NIE12-001,0,0,1,1,0,0,1,0
NIE12-110,1,1,0,1,1,1,0,0
NIE12-101,1,0,1,1,1,0,1,0
NIE12-011,0,1,1,1,0,1,1,0
NIE12-111,1,1,1,1,1,1,1,0
